release_idx,release_time,exec_time_s,period_s,deadline_s,finish_time,deadline_abs,missed_deadline,note
757,952912.918741300,0.000049700,0.020000000,0.020000000,952912.918791000,952912.938741300,0,
758,952912.949610200,0.000047000,0.020000000,0.020000000,952912.949657200,952912.969610200,0,
759,952912.964629300,0.000038200,0.020000000,0.020000000,952912.964667500,952912.984629300,0,
760,952912.980661900,0.000040800,0.020000000,0.020000000,952912.980702700,952913.000661900,0,
761,952912.996301500,0.000047600,0.020000000,0.020000000,952912.996349100,952913.016301500,0,
762,952913.028084700,0.000046500,0.020000000,0.020000000,952913.028131200,952913.048084700,0,
763,952913.043057900,0.000052000,0.020000000,0.020000000,952913.043109900,952913.063057900,0,
764,952913.058839800,0.000038100,0.020000000,0.020000000,952913.058877900,952913.078839800,0,
765,952913.090682000,0.000081100,0.020000000,0.020000000,952913.090763100,952913.110682000,0,
766,952913.106748800,0.000052400,0.020000000,0.020000000,952913.106801200,952913.126748800,0,
767,952913.122972300,0.000046700,0.020000000,0.020000000,952913.123019000,952913.142972300,0,
768,952913.139012200,0.000055800,0.020000000,0.020000000,952913.139068000,952913.159012200,0,
769,952913.170091000,0.000049500,0.020000000,0.020000000,952913.170140500,952913.190091000,0,
770,952913.185473800,0.000064600,0.020000000,0.020000000,952913.185538400,952913.205473800,0,
771,952913.201246000,0.000060000,0.020000000,0.020000000,952913.201306000,952913.221246000,0,
772,952913.217848000,0.000068000,0.020000000,0.020000000,952913.217916000,952913.237848000,0,
773,952913.249531900,0.000044000,0.020000000,0.020000000,952913.249575900,952913.269531900,0,
774,952913.265503500,0.000048500,0.020000000,0.020000000,952913.265552000,952913.285503500,0,
775,952913.281237900,0.000044900,0.020000000,0.020000000,952913.281282800,952913.301237900,0,
776,952913.297156900,0.000050700,0.020000000,0.020000000,952913.297207600,952913.317156900,0,
777,952913.328164700,0.000052300,0.020000000,0.020000000,952913.328217000,952913.348164700,0,
778,952913.343680400,0.000047200,0.020000000,0.020000000,952913.343727600,952913.363680400,0,
779,952913.359607500,0.000039500,0.020000000,0.020000000,952913.359647000,952913.379607500,0,
780,952913.390848600,0.000056800,0.020000000,0.020000000,952913.390905400,952913.410848600,0,
781,952913.406910000,0.000053700,0.020000000,0.020000000,952913.406963700,952913.426910000,0,
782,952913.422000500,0.000059300,0.020000000,0.020000000,952913.422059800,952913.442000500,0,
